src;dst;capacity_mbps;delay_ms;r_link
1;166;945;11;0.9614
1;167;649;15;0.9754
1;168;279;13;0.9651
1;169;184;10;0.9818
1;172;539;11;0.9696
1;175;431;12;0.987
1;178;381;6;0.9843
1;180;156;3;0.981
1;183;886;3;0.9609
1;185;432;9;0.9693
1;188;309;8;0.9723
1;189;839;3;0.988
1;206;679;8;0.9526
1;207;644;11;0.9605
1;212;142;13;0.985
1;213;128;11;0.9886
1;214;879;8;0.9694
1;215;489;7;0.9983
1;216;400;13;0.9697
1;218;377;13;0.9758
1;219;513;15;0.9743
1;222;678;5;0.9792
1;226;935;12;0.974
1;233;905;13;0.9685
1;234;790;9;0.9598
1;235;574;6;0.954
1;243;791;8;0.9944
1;244;685;14;0.9852
1;246;509;10;0.9538
1;247;949;3;0.9735
2;3;251;13;0.968
2;5;672;3;0.9822
2;7;895;7;0.9696
2;8;283;14;0.9945
2;10;562;14;0.9874
2;12;128;15;0.964
2;14;395;7;0.9811
2;15;702;9;0.9682
2;16;402;10;0.982
2;17;989;14;0.9519
2;19;913;8;0.9586
2;22;343;14;0.9747
2;23;748;12;0.9845
2;24;894;13;0.9931
2;27;852;13;0.9595
2;33;174;6;0.9517
2;34;922;4;0.9768
2;35;467;7;0.9648
2;36;817;9;0.9854
2;39;147;15;0.9689
2;42;773;12;0.9576
2;45;556;15;0.9598
2;48;347;7;0.9577
2;49;780;11;0.977
2;50;848;8;0.9961
2;53;793;15;0.9792
2;55;669;5;0.9621
2;58;218;3;0.9937
2;62;162;15;0.961
2;65;563;6;0.9679
2;67;965;6;0.9764
2;69;696;4;0.977
2;72;678;12;0.9928
2;80;825;10;0.9955
2;86;562;4;0.9569
2;89;711;14;0.9506
2;91;565;11;0.9863
2;94;821;10;0.9931
2;95;553;8;0.9827
2;97;326;3;0.9602
2;98;262;15;0.9539
2;100;573;13;0.9645
2;103;952;7;0.9547
2;104;292;5;0.9701
2;106;802;5;0.9532
2;114;864;15;0.9985
2;115;173;15;0.9901
2;117;815;14;0.9705
2;123;373;7;0.9707
2;125;480;9;0.9925
2;126;170;15;0.9878
2;127;856;8;0.9901
2;128;792;10;0.9817
2;129;415;8;0.9809
2;132;499;13;0.9863
2;133;890;15;0.9598
2;138;560;8;0.9606
2;139;220;7;0.9564
2;140;177;6;0.963
2;141;400;7;0.9531
2;142;565;4;0.9965
2;143;872;14;0.99
2;145;951;5;0.959
2;149;865;11;0.9634
2;156;269;4;0.9731
2;157;744;3;0.9684
2;162;629;5;0.9695
2;164;658;6;0.9573
2;165;802;15;0.9539
2;167;891;4;0.9961
2;169;128;10;0.9529
2;173;584;11;0.9707
2;179;443;6;0.9613
2;184;505;9;0.9591
2;185;620;11;0.9826
2;187;238;12;0.9517
2;188;139;9;0.9537
2;189;310;9;0.9532
2;190;583;14;0.9811
2;193;965;14;0.9649
2;194;186;4;0.9727
2;209;460;14;0.9976
2;210;597;13;0.9704
2;211;563;15;0.9933
2;214;209;8;0.9922
2;215;507;14;0.9978
2;221;289;10;0.9758
2;222;397;13;0.9511
2;224;394;9;0.9774
2;225;737;13;0.9539
2;226;353;12;0.9961
2;233;174;4;0.9807
2;234;799;7;0.9659
2;239;929;10;0.9858
2;243;601;9;0.9748
2;244;636;4;0.966
2;245;468;14;0.9552
2;248;603;14;0.9771
3;4;956;12;0.9954
3;9;909;12;0.9679
3;10;500;11;0.9696
3;18;468;9;0.9843
3;19;695;13;0.9759
3;23;529;13;0.9956
3;28;812;7;0.9578
3;31;167;4;0.9828
3;32;893;13;0.9766
3;35;836;15;0.951
3;39;506;5;0.9528
3;44;557;6;0.9969
3;47;367;5;0.9988
3;49;837;15;0.9723
3;54;907;4;0.9953
3;60;157;11;0.9604
3;61;417;6;0.9916
3;65;608;9;0.9669
3;67;325;12;0.9605
3;71;229;4;0.9904
3;72;965;4;0.9725
3;75;152;15;0.9948
3;77;837;10;0.9856
3;81;982;14;0.9611
3;86;749;10;0.965
3;97;269;13;0.9534
3;100;265;12;0.9979
3;106;153;3;0.9926
3;107;862;7;0.9796
3;111;513;10;0.9876
3;112;798;14;0.9601
3;118;200;4;0.9846
3;124;179;8;0.9967
3;126;443;6;0.9587
3;127;493;7;0.9592
3;128;972;8;0.9986
3;132;780;13;0.9521
3;133;785;8;0.9532
3;136;631;5;0.964
3;138;177;10;0.9561
3;140;565;13;0.9808
3;141;269;10;0.9671
3;142;926;7;0.9628
3;146;673;7;0.9613
3;148;922;10;0.9772
3;152;670;3;0.9713
3;154;650;14;0.9981
3;155;631;4;0.951
3;157;739;7;0.9596
3;161;513;15;0.9842
3;164;209;7;0.979
3;168;274;9;0.9911
3;172;632;10;0.9539
3;175;376;5;0.9548
3;185;950;11;0.9948
3;189;296;14;0.9976
3;190;854;5;0.9764
3;192;206;9;0.9727
3;193;802;5;0.9755
3;199;232;6;0.9609
3;204;363;4;0.9698
3;205;157;12;0.9727
3;207;365;13;0.9581
3;214;902;11;0.9545
3;216;709;11;0.9603
3;224;836;4;0.9862
3;225;916;7;0.9916
3;226;301;14;0.9885
3;230;500;5;0.953
3;231;176;12;0.9577
3;234;783;13;0.9571
3;236;186;10;0.9725
3;238;653;5;0.9895
3;240;624;3;0.9676
3;242;289;14;0.973
3;249;734;10;0.9817
4;6;703;11;0.9594
4;10;547;13;0.9704
4;11;492;4;0.9652
4;15;264;14;0.9573
4;19;420;10;0.9942
4;20;976;13;0.9589
4;21;598;13;0.9978
4;22;209;5;0.9509
4;28;559;14;0.9603
4;30;740;6;0.998
4;31;501;14;0.973
4;33;394;7;0.9897
4;35;293;13;0.9824
4;36;644;10;0.9642
4;38;881;6;0.9721
4;39;590;14;0.9674
4;41;274;11;0.9867
4;43;518;9;0.9667
4;44;680;14;0.9572
4;45;753;8;0.9554
4;46;730;3;0.953
4;48;762;5;0.9767
4;49;156;10;0.9935
4;51;594;6;0.9858
4;52;365;8;0.9674
4;53;779;8;0.9822
4;54;637;14;0.99
4;61;395;6;0.9865
4;64;138;13;0.9923
4;70;462;6;0.9701
4;76;516;13;0.9508
4;77;589;15;0.959
4;79;334;4;0.9918
4;80;892;7;0.9615
4;83;849;6;0.9709
4;88;367;3;0.9854
4;94;221;9;0.9766
4;96;626;4;0.9717
4;97;651;14;0.9574
4;100;946;13;0.9878
4;103;417;11;0.9506
4;104;692;5;0.9835
4;106;840;5;0.9767
4;108;885;9;0.9538
4;109;200;14;0.9818
4;115;549;14;0.962
4;116;881;13;0.9674
4;117;432;3;0.9714
4;124;141;7;0.9625
4;126;514;14;0.9633
4;128;662;8;0.9502
4;129;891;6;0.9618
4;131;239;5;0.97
4;140;190;3;0.9736
4;143;401;7;0.9735
4;144;599;6;0.9768
4;146;946;5;0.9703
4;147;785;14;0.983
4;148;137;7;0.9593
4;152;227;5;0.9919
4;154;967;4;0.9897
4;156;330;14;0.9897
4;158;474;12;0.9632
4;159;164;12;0.9796
4;163;710;4;0.9975
4;164;705;14;0.9985
4;165;689;13;0.9772
4;168;940;5;0.9709
4;172;367;5;0.9571
4;174;117;9;0.9909
4;176;273;13;0.9884
4;180;825;14;0.9665
4;181;879;11;0.9607
4;183;821;9;0.9772
4;184;468;10;0.9556
4;185;137;14;0.9778
4;186;944;15;0.9821
4;187;117;8;0.9582
4;188;204;5;0.9681
4;189;851;4;0.9891
4;191;977;7;0.9758
4;192;772;11;0.9523
4;197;465;10;0.9866
4;199;610;6;0.9542
4;200;586;7;0.9983
4;207;782;7;0.9872
4;208;294;13;0.9761
4;209;374;12;0.99
4;214;172;11;0.9972
4;216;586;8;0.9904
4;219;390;13;0.96
4;220;175;6;0.9711
4;221;127;7;0.9688
4;222;473;13;0.9964
4;223;330;7;0.9857
4;225;787;11;0.9821
4;228;183;12;0.9915
4;232;503;9;0.979
4;233;999;15;0.9641
4;234;873;4;0.9788
4;238;176;8;0.9674
5;6;283;5;0.9583
5;7;127;11;0.9539
5;9;495;5;0.9948
5;10;559;13;0.9539
5;11;428;3;0.9518
5;13;701;4;0.9645
5;15;673;5;0.9767
5;17;233;10;0.9535
5;29;599;4;0.9701
5;31;361;15;0.9761
5;32;997;14;0.9923
5;33;749;3;0.99
5;35;693;3;0.9714
5;38;650;5;0.9746
5;39;633;15;0.9896
5;43;410;15;0.9709
5;44;187;6;0.9696
5;45;970;7;0.97
5;47;154;15;0.9643
5;51;345;15;0.957
5;52;956;5;0.9705
5;54;943;13;0.9648
5;59;642;4;0.9855
5;61;802;3;0.9641
5;62;786;8;0.9841
5;65;655;10;0.9949
5;68;441;9;0.955
5;69;377;3;0.9516
5;79;379;9;0.9867
5;80;632;7;0.9835
5;81;712;8;0.9529
5;82;372;7;0.9607
5;85;268;13;0.9735
5;86;882;9;0.9665
5;87;299;15;0.9639
5;89;474;4;0.9806
5;93;674;14;0.9829
5;94;701;3;0.9802
5;96;603;3;0.9689
5;97;237;11;0.9693
5;98;922;12;0.9658
5;102;665;4;0.97
5;106;876;4;0.95
5;108;249;13;0.9513
5;112;679;7;0.9792
5;116;657;10;0.9743
5;120;498;7;0.9504
5;121;583;10;0.9595
5;126;555;9;0.9844
5;127;768;8;0.9539
5;131;829;4;0.9898
5;134;634;7;0.9502
5;136;802;14;0.9753
5;138;119;12;0.973
5;141;928;15;0.9565
5;143;536;7;0.9922
5;144;735;9;0.9695
5;145;410;4;0.9769
5;147;997;4;0.9943
5;149;321;7;0.9735
5;150;197;5;0.952
5;155;685;14;0.9898
5;156;390;9;0.9635
5;159;891;8;0.9826
5;162;346;12;0.9672
5;163;136;5;0.9835
5;164;749;13;0.9983
5;169;375;10;0.9715
5;170;206;7;0.9667
5;171;295;11;0.9978
5;172;823;12;0.9503
5;176;116;8;0.9954
5;179;991;5;0.9571
5;181;643;12;0.9537
5;182;962;10;0.961
5;185;539;3;0.9586
5;188;679;9;0.9977
5;190;949;3;0.982
5;195;148;14;0.9612
5;199;708;4;0.9761
5;200;237;14;0.976
5;202;350;11;0.9921
5;207;771;13;0.9561
5;208;261;10;0.9702
5;211;855;6;0.9553
5;217;513;11;0.9548
5;220;528;15;0.9535
5;221;715;5;0.9925
5;222;432;7;0.9728
5;223;288;8;0.9529
5;228;181;14;0.9777
5;230;764;13;0.9916
5;231;149;15;0.967
5;234;782;7;0.9936
5;235;651;11;0.9609
5;236;877;4;0.9837
5;240;115;13;0.9572
5;248;742;15;0.9627
6;9;886;15;0.9739
6;10;436;7;0.9632
6;12;506;9;0.9854
6;16;790;14;0.9816
6;17;634;10;0.9948
6;19;175;12;0.9595
6;21;968;15;0.957
6;24;567;11;0.9923
6;26;732;4;0.9985
6;30;121;12;0.9731
6;33;500;9;0.978
6;34;299;12;0.9972
6;36;597;11;0.9611
6;37;667;8;0.9784
6;42;878;3;0.9905
6;46;946;15;0.9642
6;48;682;7;0.9658
6;49;315;6;0.9784
6;52;703;9;0.9922
6;54;983;4;0.9741
6;55;432;10;0.9611
6;58;983;14;0.9518
6;61;598;14;0.9667
6;66;927;3;0.993
6;69;274;11;0.9834
6;70;336;8;0.97
6;71;142;10;0.9755
6;80;952;6;0.9508
6;81;657;3;0.9646
6;82;747;7;0.9743
6;84;377;12;0.9647
6;86;268;13;0.9795
6;90;737;3;0.9816
6;91;706;9;0.9916
6;97;874;11;0.9746
6;102;368;7;0.9937
6;106;364;4;0.9705
6;110;325;11;0.9696
6;111;708;13;0.951
6;112;300;5;0.9881
6;113;129;6;0.9752
6;114;265;4;0.9843
6;116;537;13;0.9801
6;120;202;9;0.9629
6;123;258;9;0.9606
6;124;339;9;0.9594
6;127;344;14;0.9947
6;129;848;9;0.9699
6;136;505;7;0.9557
6;137;882;7;0.9902
6;146;729;14;0.9634
6;151;424;12;0.9518
6;152;666;7;0.9721
6;153;548;5;0.9874
6;156;587;6;0.9898
6;158;181;12;0.9899
6;163;623;10;0.9622
6;164;320;8;0.9727
6;166;477;6;0.9974
6;168;202;3;0.9591
6;169;560;10;0.9628
6;170;698;13;0.9967
6;171;115;12;0.9525
6;172;416;7;0.9927
6;174;270;12;0.9701
6;176;445;6;0.9673
6;177;166;5;0.9558
6;179;887;14;0.9844
6;184;287;6;0.9864
6;185;451;7;0.9733
6;189;528;9;0.958
6;190;256;11;0.989
6;191;677;10;0.9737
6;202;486;5;0.9863
6;205;958;15;0.9624
6;207;536;5;0.9746
6;210;361;3;0.9831
6;213;317;15;0.9675
6;215;712;10;0.9602
6;217;166;3;0.9768
6;220;805;7;0.9931
6;223;686;10;0.9666
6;224;704;7;0.9687
6;225;479;4;0.9719
6;230;169;11;0.9844
6;232;838;10;0.9625
6;235;152;13;0.9537
6;236;634;7;0.9837
6;240;194;5;0.9796
6;242;599;7;0.9506
6;249;161;6;0.9515
7;15;835;12;0.9786
7;19;129;4;0.9981
7;21;939;4;0.9791
7;23;827;15;0.9767
7;24;568;6;0.9566
7;25;948;15;0.9883
7;26;396;7;0.9583
7;33;346;4;0.9905
7;34;943;9;0.9604
7;35;944;5;0.9931
7;36;912;12;0.9814
7;39;935;11;0.9814
7;40;765;15;0.9816
7;42;733;15;0.9552
7;43;851;10;0.9754
7;49;110;3;0.9544
7;50;743;12;0.9634
7;52;141;5;0.9655
7;54;245;5;0.9795
7;55;248;14;0.9758
7;56;544;4;0.9598
7;58;995;15;0.9709
7;59;245;7;0.9538
7;62;278;10;0.998
7;63;529;10;0.98
7;65;820;6;0.967
7;70;816;6;0.9552
7;71;894;10;0.9579
7;73;504;4;0.9626
7;75;796;3;0.9917
7;77;681;5;0.9648
7;81;386;10;0.9669
7;84;762;11;0.9963
7;88;624;12;0.9802
7;91;926;14;0.9539
7;93;904;4;0.9718
7;100;908;4;0.9585
7;102;185;15;0.9712
7;105;799;4;0.9809
7;111;242;6;0.9768
7;113;400;11;0.9639
7;116;411;13;0.9731
7;122;107;14;0.9686
7;124;992;4;0.9742
7;126;371;13;0.9903
7;133;479;7;0.9585
7;134;743;11;0.9941
7;135;112;4;0.9562
7;137;407;6;0.9966
7;138;562;14;0.9572
7;143;839;10;0.9543
7;148;650;13;0.974
7;150;879;7;0.9893
7;151;603;3;0.9812
7;152;664;10;0.9623
7;153;382;11;0.9877
7;154;736;8;0.9881
7;155;419;4;0.9854
7;158;825;9;0.9674
7;160;374;9;0.9873
7;163;815;6;0.9751
7;164;795;13;0.9824
7;165;740;7;0.9891
7;170;511;9;0.9726
7;171;534;5;0.9888
7;173;231;4;0.9616
7;175;664;5;0.97
7;176;171;6;0.9708
7;177;730;6;0.9919
7;185;716;12;0.9737
7;186;770;12;0.9846
7;189;414;13;0.9769
7;192;573;10;0.9527
7;194;889;11;0.9802
7;198;412;11;0.9761
7;199;440;13;0.9571
7;201;426;12;0.9701
7;202;836;6;0.9826
7;204;776;6;0.992
7;210;754;14;0.9517
7;214;408;12;0.9716
7;218;802;11;0.9515
7;219;236;6;0.9721
7;220;502;5;0.9587
7;223;508;6;0.9833
7;225;737;9;0.9593
7;233;518;7;0.9532
7;236;501;10;0.9904
7;241;207;6;0.9627
7;242;847;5;0.9828
7;246;309;7;0.9846
7;247;429;12;0.9614
7;248;686;14;0.9657
7;249;842;6;0.9633
8;13;365;8;0.994
8;14;699;3;0.9949
8;15;888;14;0.9666
8;18;550;11;0.9878
8;23;919;12;0.9879
8;24;775;11;0.9811
8;25;454;13;0.9733
8;26;360;12;0.9941
8;29;526;11;0.9637
8;32;797;12;0.9834
8;33;911;5;0.986
8;35;972;12;0.9745
8;37;693;8;0.9561
8;40;980;8;0.9893
8;43;361;11;0.9673
8;44;666;6;0.9935
8;45;784;6;0.9965
8;47;365;15;0.9617
8;48;244;7;0.9831
8;49;645;3;0.9654
8;60;962;3;0.9715
8;62;560;6;0.9813
8;63;186;12;0.9507
8;67;217;9;0.9589
8;74;125;11;0.9665
8;75;108;9;0.9694
8;76;315;6;0.9855
8;80;432;9;0.9527
8;82;195;15;0.9731
8;83;199;9;0.9788
8;87;416;12;0.9594
8;93;659;8;0.9987
8;95;920;7;0.9767
8;98;573;13;0.9827
8;101;977;13;0.9722
8;103;293;13;0.9764
8;107;791;12;0.9844
8;109;351;12;0.9846
8;110;888;3;0.9586
8;113;142;11;0.9945
8;118;861;6;0.958
8;121;886;13;0.9683
8;122;845;13;0.9515
8;123;608;4;0.9511
8;127;642;13;0.9581
8;128;376;15;0.984
8;129;537;9;0.9859
8;134;388;4;0.9828
8;139;439;7;0.9789
8;141;398;10;0.9984
8;147;687;14;0.9866
8;148;887;5;0.9623
8;155;313;3;0.9834
8;157;300;8;0.975
8;159;165;4;0.9685
8;165;147;4;0.9781
8;167;258;6;0.9814
8;169;274;8;0.9816
8;171;610;12;0.9871
8;176;116;3;0.9792
8;177;970;9;0.9653
8;178;867;3;0.9891
8;179;704;4;0.9965
8;182;841;15;0.9669
8;183;734;6;0.9538
8;184;349;5;0.958
8;188;867;12;0.959
8;194;421;7;0.9544
8;195;430;8;0.9678
8;197;850;13;0.9651
8;198;619;7;0.9981
8;199;419;3;0.9758
8;205;682;11;0.9767
8;207;934;7;0.9664
8;208;888;5;0.9789
8;212;568;3;0.9617
8;213;125;10;0.9841
8;217;598;5;0.9672
8;219;219;11;0.9763
8;224;932;10;0.9715
8;225;474;13;0.9713
8;226;786;13;0.9828
8;227;918;4;0.9545
8;229;379;11;0.9764
8;231;291;8;0.9564
8;233;947;5;0.9858
8;238;395;11;0.9834
8;241;975;10;0.9521
8;244;989;8;0.9885
8;246;450;14;0.9924
8;247;485;12;0.9795
9;10;342;13;0.9631
9;15;191;7;0.998
9;19;221;14;0.9941
9;20;749;11;0.9691
9;24;246;15;0.9837
9;25;231;10;0.9616
9;26;168;4;0.9674
9;27;210;7;0.99
9;28;215;3;0.9553
9;29;295;10;0.9567
9;30;699;4;0.9863
9;31;712;13;0.9558
9;35;222;6;0.9875
9;36;384;7;0.9896
9;37;764;7;0.9841
9;39;920;15;0.9828
9;40;198;9;0.9524
9;41;465;6;0.9783
9;42;123;3;0.9855
9;43;576;4;0.9568
9;48;374;15;0.9625
9;49;449;6;0.9694
9;50;255;3;0.9924
9;51;305;5;0.9635
9;53;108;10;0.9774
9;57;947;7;0.9578
9;58;912;7;0.9948
9;59;623;5;0.9762
9;62;805;8;0.9547
9;63;763;12;0.9921
9;64;556;12;0.9944
9;66;520;10;0.9521
9;69;138;15;0.9517
9;70;448;11;0.9646
9;74;875;4;0.9733
9;75;353;3;0.9563
9;77;809;9;0.9652
9;78;488;14;0.9711
9;81;807;9;0.9893
9;85;891;4;0.9637
9;86;932;4;0.9593
9;88;600;3;0.9863
9;89;521;10;0.9589
9;99;338;3;0.996
9;106;933;10;0.9819
9;110;462;11;0.9528
9;119;769;5;0.9835
9;123;611;5;0.9912
9;126;951;3;0.991
9;128;402;5;0.9866
9;131;689;9;0.9925
9;135;169;3;0.9904
9;136;814;3;0.9662
9;142;459;13;0.9655
9;146;222;5;0.9839
9;147;297;13;0.9854
9;148;304;13;0.9558
9;151;555;7;0.9827
9;153;538;9;0.9712
9;154;515;6;0.967
9;156;742;13;0.9967
9;161;421;8;0.9521
9;162;875;7;0.9956
9;164;403;6;0.9652
9;168;228;8;0.9951
9;170;511;12;0.9664
9;171;437;12;0.9731
9;172;450;11;0.9918
9;175;476;6;0.9874
9;177;133;9;0.9812
9;180;476;7;0.9829
9;182;298;3;0.954
9;184;669;15;0.9768
9;186;459;12;0.9538
9;189;863;7;0.9863
9;190;988;4;0.9821
9;192;625;7;0.9783
9;193;732;13;0.9988
9;195;924;15;0.9806
9;202;800;14;0.9819
9;207;761;4;0.9675
9;209;752;7;0.9548
9;210;437;10;0.9534
9;211;240;9;0.9852
9;212;549;8;0.9538
9;213;185;3;0.9749
9;217;787;3;0.9757
9;218;361;15;0.9856
9;219;605;12;0.9607
9;226;492;3;0.9928
9;227;651;7;0.9584
9;229;847;15;0.9973
9;230;499;3;0.9975
9;231;147;7;0.9816
9;232;519;9;0.9984
9;241;859;7;0.9779
9;242;515;3;0.957
9;244;429;15;0.9709
9;245;176;12;0.9554
9;247;466;12;0.9843
10;13;145;3;0.9861
10;14;140;12;0.9503
10;17;500;9;0.9501
10;19;892;14;0.9919
10;23;526;3;0.9768
10;26;717;13;0.9785
10;29;142;5;0.989
10;34;744;9;0.9691
10;37;987;14;0.9555
10;40;816;6;0.9509
10;41;538;7;0.9864
10;42;468;12;0.976
10;43;633;7;0.9603
10;44;808;15;0.9709
10;45;869;5;0.9714
10;46;414;8;0.952
10;48;188;3;0.9784
10;50;544;4;0.9864
10;51;235;3;0.9522
10;55;287;10;0.9674
10;61;389;15;0.9837
10;63;633;3;0.9769
10;70;224;14;0.9747
10;75;517;5;0.967
10;77;654;13;0.9881
10;79;999;10;0.9716
10;81;341;4;0.9674
10;82;735;3;0.9913
10;88;790;4;0.951
10;89;847;13;0.9929
10;91;936;9;0.9888
10;93;433;13;0.9789
10;94;676;9;0.9981
10;96;835;11;0.994
10;100;439;5;0.9596
10;102;101;12;0.9521
10;103;816;13;0.958
10;106;215;5;0.9685
10;109;104;9;0.9524
10;111;716;3;0.9517
10;113;905;6;0.9958
10;115;221;11;0.9764
10;117;929;13;0.998
10;119;736;3;0.9941
10;120;757;15;0.9506
10;122;575;11;0.973
10;123;318;15;0.9892
10;124;521;10;0.9779
10;126;359;10;0.972
10;129;232;3;0.9758
10;131;312;11;0.9613
10;132;975;7;0.956
10;134;329;3;0.9755
10;139;177;3;0.9654
10;140;118;3;0.9977
10;141;194;10;0.9973
10;143;812;10;0.9691
10;144;337;13;0.9852
10;146;694;14;0.9606
10;149;447;4;0.9795
10;151;681;8;0.9817
10;153;321;13;0.9566
10;158;333;10;0.9966
10;162;398;6;0.9683
10;163;843;10;0.9972
10;166;369;11;0.9749
10;168;260;6;0.9627
10;169;930;4;0.9793
10;170;170;10;0.9506
10;171;354;13;0.9871
10;179;858;4;0.9858
10;183;784;8;0.9745
10;184;758;13;0.9656
10;188;462;9;0.9566
10;195;181;11;0.9773
10;198;624;9;0.9668
10;203;645;13;0.9738
10;204;479;5;0.9919
10;205;138;7;0.9522
10;206;607;7;0.9656
10;207;601;12;0.9872
10;214;746;10;0.9757
10;217;773;9;0.9775
10;218;697;14;0.9666
10;220;392;9;0.9806
10;223;565;4;0.9909
10;227;913;4;0.9894
10;231;431;15;0.9624
10;232;843;10;0.982
10;236;189;10;0.9596
10;239;618;12;0.9645
10;242;244;14;0.9641
10;247;342;9;0.9822
10;248;396;6;0.9856
11;12;520;14;0.9859
11;15;254;15;0.9603
11;17;964;6;0.9739
11;18;664;3;0.963
11;21;102;15;0.9506
11;23;619;3;0.9728
11;26;947;11;0.9989
11;27;341;7;0.9954
11;28;652;5;0.9869
11;31;125;5;0.9544
11;33;703;5;0.9692
11;35;259;4;0.9551
11;37;103;8;0.9988
11;38;805;9;0.9664
11;45;871;11;0.9537
11;48;252;3;0.9841
11;49;659;13;0.9918
11;50;285;14;0.9985
11;53;670;6;0.9629
11;57;137;3;0.9546
11;59;273;9;0.9932
11;61;681;4;0.9964
11;63;898;5;0.9562
11;64;358;12;0.9975
11;66;410;6;0.971
11;72;250;4;0.9856
11;75;322;5;0.974
11;76;117;10;0.9878
11;78;360;13;0.9897
11;79;488;13;0.9679
11;83;316;11;0.9868
11;87;210;10;0.9578
11;89;329;12;0.9816
11;91;721;8;0.9502
11;94;770;10;0.9842
11;99;175;8;0.9673
11;101;324;11;0.9851
11;102;538;10;0.9738
11;103;763;14;0.9892
11;105;250;13;0.9594
11;109;901;7;0.9936
